Enabling ACLiC compilation with OpenMP for Linux
Info in <TUnixSystem::ACLiC>: creating shared library /w/halld-scshelf2101/bgrube/pippimetapr/Moments/././wignerD_C.so
Running code in '/w/halld-scshelf2101/bgrube/pippimetapr/Moments', git version '4b1463e'
True moment values for signal:
Re[H^true_0(L = 0, M = 0)] = 1.0 +- 0.0
Im[H^true_0(L = 0, M = 0)] = 0.0 +- 0.0
Re[H^true_0(L = 1, M = 0)] = -0.001792174835683817 +- 0.0
Im[H^true_0(L = 1, M = 0)] = 0.0 +- 0.0
Re[H^true_0(L = 1, M = 1)] = -0.018030456806673242 +- 0.0
Im[H^true_0(L = 1, M = 1)] = 0.0 +- 0.0
Re[H^true_0(L = 2, M = 0)] = 0.02418740779791588 +- 0.0
Im[H^true_0(L = 2, M = 0)] = 0.0 +- 0.0
Re[H^true_0(L = 2, M = 1)] = -0.07915100246084726 +- 0.0
Im[H^true_0(L = 2, M = 1)] = 0.0 +- 0.0
Re[H^true_0(L = 2, M = 2)] = -0.06395209915477651 +- 0.0
Im[H^true_0(L = 2, M = 2)] = 0.0 +- 0.0
Re[H^true_0(L = 3, M = 0)] = 0.012747373073427534 +- 0.0
Im[H^true_0(L = 3, M = 0)] = 0.0 +- 0.0
Re[H^true_0(L = 3, M = 1)] = -0.014166657439072174 +- 0.0
Im[H^true_0(L = 3, M = 1)] = 0.0 +- 0.0
Re[H^true_0(L = 3, M = 2)] = 0.02100281534080579 +- 0.0
Im[H^true_0(L = 3, M = 2)] = 0.0 +- 0.0
Re[H^true_0(L = 3, M = 3)] = -0.012793176972281451 +- 0.0
Im[H^true_0(L = 3, M = 3)] = 0.0 +- 0.0
Re[H^true_0(L = 4, M = 0)] = -0.015715075416567952 +- 0.0
Im[H^true_0(L = 4, M = 0)] = 0.0 +- 0.0
Re[H^true_0(L = 4, M = 1)] = -0.00020243949975242754 +- 0.0
Im[H^true_0(L = 4, M = 1)] = 0.0 +- 0.0
Re[H^true_0(L = 4, M = 2)] = 0.002110055488701343 +- 0.0
Im[H^true_0(L = 4, M = 2)] = 0.0 +- 0.0
Re[H^true_0(L = 4, M = 3)] = 0.010278271754575661 +- 0.0
Im[H^true_0(L = 4, M = 3)] = 0.0 +- 0.0
Re[H^true_0(L = 4, M = 4)] = -0.013874958980664601 +- 0.0
Im[H^true_0(L = 4, M = 4)] = 0.0 +- 0.0
Re[H^true_0(L = 5, M = 0)] = 0.0 +- 0.0
Im[H^true_0(L = 5, M = 0)] = 0.0 +- 0.0
Re[H^true_0(L = 5, M = 1)] = 0.0 +- 0.0
Im[H^true_0(L = 5, M = 1)] = 0.0 +- 0.0
